time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,latitude,longitude
2026-03-30T00:00,22.3,87,0.0,2.4,25.0,121.625
2026-03-30T01:00,24.4,78,0.0,2.6,25.0,121.625
2026-03-30T02:00,26.3,70,0.0,6.5,25.0,121.625
2026-03-30T03:00,27.7,63,0.0,9.4,25.0,121.625
2026-03-30T04:00,29.2,55,0.0,10.9,25.0,121.625
2026-03-30T05:00,29.8,52,0.0,17.3,25.0,121.625
2026-03-30T06:00,28.2,61,0.0,20.2,25.0,121.625
2026-03-30T07:00,26.4,72,0.0,17.0,25.0,121.625
2026-03-30T08:00,26.6,71,0.0,13.0,25.0,121.625
2026-03-30T09:00,26.0,74,0.0,12.7,25.0,121.625
2026-03-30T10:00,25.0,80,0.0,6.6,25.0,121.625
2026-03-30T11:00,24.2,86,0.0,4.2,25.0,121.625
2026-03-30T12:00,23.8,89,0.0,2.9,25.0,121.625
2026-03-30T13:00,23.3,92,0.0,2.5,25.0,121.625
2026-03-30T14:00,22.7,94,0.0,2.3,25.0,121.625
2026-03-30T15:00,22.1,95,0.0,3.1,25.0,121.625
2026-03-30T16:00,21.6,96,0.0,3.4,25.0,121.625
2026-03-30T17:00,21.0,97,0.0,3.3,25.0,121.625
2026-03-30T18:00,20.6,98,0.0,2.1,25.0,121.625
2026-03-30T19:00,20.7,95,0.0,1.8,25.0,121.625
2026-03-30T20:00,20.8,94,0.0,3.3,25.0,121.625
2026-03-30T21:00,20.5,95,0.0,2.8,25.0,121.625
2026-03-30T22:00,20.5,94,0.0,3.3,25.0,121.625
2026-03-30T23:00,21.0,92,0.0,3.3,25.0,121.625
